,unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value
25,874404,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202,Downtown - Heights - Slope,Summer 2023,2023-06-01T00:00:00.000,9.205974877
26,878227,386,Ozone (O3),Mean,ppb,UHF42,303,East Harlem,Summer 2023,2023-06-01T00:00:00.000,32.00898429
27,877011,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,205,Sunset Park,Summer 2023,2023-06-01T00:00:00.000,14.78243138
28,877014,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206,Borough Park,Summer 2023,2023-06-01T00:00:00.000,11.74380759
29,874449,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,405,Ridgewood - Forest Hills,Summer 2023,2023-06-01T00:00:00.000,8.875708042
30,874867,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,502,South Beach and Willowbrook (CD2),Summer 2023,2023-06-01T00:00:00.000,8.411168198
31,878192,386,Ozone (O3),Mean,ppb,UHF34,210,Coney Island - Sheepshead Bay,Summer 2023,2023-06-01T00:00:00.000,40.41763987
32,878149,386,Ozone (O3),Mean,ppb,CD,210,Throgs Neck and Co-op City (CD10),Summer 2023,2023-06-01T00:00:00.000,35.69245438
33,877170,375,Nitrogen dioxide (NO2),Mean,ppb,CD,303,Bedford Stuyvesant (CD3),Summer 2023,2023-06-01T00:00:00.000,11.9265525
34,876891,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,East New York,Summer 2023,2023-06-01T00:00:00.000,13.58713104
35,877068,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,305307,Upper East Side-Gramercy,Summer 2023,2023-06-01T00:00:00.000,17.8616607
36,878226,386,Ozone (O3),Mean,ppb,UHF42,304,Upper West Side,Summer 2023,2023-06-01T00:00:00.000,29.75910834
37,878185,386,Ozone (O3),Mean,ppb,UHF34,402,West Queens,Summer 2023,2023-06-01T00:00:00.000,34.3659895
38,874571,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,403,Flushing - Clearview,Summer 2023,2023-06-01T00:00:00.000,8.899227558
39,878250,386,Ozone (O3),Mean,ppb,Borough,3,Manhattan,Summer 2023,2023-06-01T00:00:00.000,30.17314447
40,877263,375,Nitrogen dioxide (NO2),Mean,ppb,CD,502,South Beach and Willowbrook (CD2),Summer 2023,2023-06-01T00:00:00.000,8.594431864
41,874906,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307,Sunset Park (CD7),Summer 2023,2023-06-01T00:00:00.000,9.15830274
42,878220,386,Ozone (O3),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2023,2023-06-01T00:00:00.000,29.88823161
43,874894,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303,Bedford Stuyvesant (CD3),Summer 2023,2023-06-01T00:00:00.000,9.002668989
44,878241,386,Ozone (O3),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2023,2023-06-01T00:00:00.000,33.38337979
45,874416,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102,Northeast Bronx,Summer 2023,2023-06-01T00:00:00.000,9.237951308
46,878168,386,Ozone (O3),Mean,ppb,CD,103,Lower East Side and Chinatown (CD3),Summer 2023,2023-06-01T00:00:00.000,31.25788895
47,878120,386,Ozone (O3),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Summer 2023,2023-06-01T00:00:00.000,36.06213115
48,874482,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Summer 2023,2023-06-01T00:00:00.000,9.178931606
49,874855,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,Jamaica and Hollis (CD12),Summer 2023,2023-06-01T00:00:00.000,8.695098537
50,874804,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313,Coney Island (CD13),Summer 2023,2023-06-01T00:00:00.000,8.337358199
51,874599,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204,Highbridge and Concourse (CD4),Summer 2023,2023-06-01T00:00:00.000,9.2882538
52,874580,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,304,Upper West Side,Summer 2023,2023-06-01T00:00:00.000,9.178923085
53,874589,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Summer 2023,2023-06-01T00:00:00.000,9.349912733
54,876954,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Summer 2023,2023-06-01T00:00:00.000,9.624486798
55,878153,386,Ozone (O3),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Summer 2023,2023-06-01T00:00:00.000,32.73465101
56,878187,386,Ozone (O3),Mean,ppb,UHF34,304,Upper West Side,Summer 2023,2023-06-01T00:00:00.000,29.75903836
57,876942,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2023,2023-06-01T00:00:00.000,19.23269501
58,878181,386,Ozone (O3),Mean,ppb,UHF34,408,Jamaica,Summer 2023,2023-06-01T00:00:00.000,37.4206363
59,878121,386,Ozone (O3),Mean,ppb,CD,309,South Crown Heights and Lefferts Gardens (CD9),Summer 2023,2023-06-01T00:00:00.000,36.97711285
60,877002,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Summer 2023,2023-06-01T00:00:00.000,14.02065338
61,878154,386,Ozone (O3),Mean,ppb,CD,205,Fordham and University Heights (CD5),Summer 2023,2023-06-01T00:00:00.000,31.7873767
62,877197,375,Nitrogen dioxide (NO2),Mean,ppb,CD,312,Borough Park (CD12),Summer 2023,2023-06-01T00:00:00.000,11.89557531
63,877113,375,Nitrogen dioxide (NO2),Mean,ppb,CD,108,Upper East Side (CD8),Summer 2023,2023-06-01T00:00:00.000,16.00194618
64,878235,386,Ozone (O3),Mean,ppb,UHF42,206,Borough Park,Summer 2023,2023-06-01T00:00:00.000,37.40360507
65,874431,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501,Port Richmond,Summer 2023,2023-06-01T00:00:00.000,8.686260792
66,877080,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,Northern SI,Summer 2023,2023-06-01T00:00:00.000,12.52282979
67,874455,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,403,Flushing - Clearview,Summer 2023,2023-06-01T00:00:00.000,8.899225982
68,878224,386,Ozone (O3),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2023,2023-06-01T00:00:00.000,28.35317493
69,874553,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307,Upper East Side-Gramercy,Summer 2023,2023-06-01T00:00:00.000,9.298440093
70,877116,375,Nitrogen dioxide (NO2),Mean,ppb,CD,109,Morningside Heights and Hamilton Heights (CD9),Summer 2023,2023-06-01T00:00:00.000,13.26989981
71,878232,386,Ozone (O3),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2023,2023-06-01T00:00:00.000,37.30085065
72,874446,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,406,Fresh Meadows,Summer 2023,2023-06-01T00:00:00.000,8.672409931
73,874476,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306,Chelsea - Clinton,Summer 2023,2023-06-01T00:00:00.000,9.716882785
74,877251,375,Nitrogen dioxide (NO2),Mean,ppb,CD,412,Jamaica and Hollis (CD12),Summer 2023,2023-06-01T00:00:00.000,11.3212232
75,876882,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,Greenpoint,Summer 2023,2023-06-01T00:00:00.000,14.95173654
76,877137,375,Nitrogen dioxide (NO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Summer 2023,2023-06-01T00:00:00.000,14.04503059
77,877041,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,304,Upper West Side,Summer 2023,2023-06-01T00:00:00.000,15.61819912
78,876900,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2023,2023-06-01T00:00:00.000,12.02033251
79,878205,386,Ozone (O3),Mean,ppb,UHF34,101,Kingsbridge - Riverdale,Summer 2023,2023-06-01T00:00:00.000,29.39652856
80,878200,386,Ozone (O3),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Summer 2023,2023-06-01T00:00:00.000,33.86869045
81,878244,386,Ozone (O3),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Summer 2023,2023-06-01T00:00:00.000,34.91689947
82,876906,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2023,2023-06-01T00:00:00.000,12.10054339
83,878116,386,Ozone (O3),Mean,ppb,CD,304,Bushwick (CD4),Summer 2023,2023-06-01T00:00:00.000,35.79837826
84,874864,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,501,St. George and Stapleton (CD1),Summer 2023,2023-06-01T00:00:00.000,8.593710536
85,878207,386,Ozone (O3),Mean,ppb,UHF42,503,Willowbrook,Summer 2023,2023-06-01T00:00:00.000,34.65271795
86,878193,386,Ozone (O3),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Summer 2023,2023-06-01T00:00:00.000,37.30085065
87,874479,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,305,Upper East Side,Summer 2023,2023-06-01T00:00:00.000,9.152812817
88,878124,386,Ozone (O3),Mean,ppb,CD,312,Borough Park (CD12),Summer 2023,2023-06-01T00:00:00.000,37.22655011
89,877146,375,Nitrogen dioxide (NO2),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2023,2023-06-01T00:00:00.000,12.97993041
90,877209,375,Nitrogen dioxide (NO2),Mean,ppb,CD,316,Brownsville (CD16),Summer 2023,2023-06-01T00:00:00.000,13.2820744
91,877005,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2023,2023-06-01T00:00:00.000,12.30403871
92,877191,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2023,2023-06-01T00:00:00.000,13.79474138
93,878233,386,Ozone (O3),Mean,ppb,UHF42,208,Canarsie - Flatlands,Summer 2023,2023-06-01T00:00:00.000,38.29501816
94,874329,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Summer 2023,2023-06-01T00:00:00.000,8.878918851
95,874311,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210,Coney Island - Sheepshead Bay,Summer 2023,2023-06-01T00:00:00.000,8.334285294
96,878191,386,Ozone (O3),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Summer 2023,2023-06-01T00:00:00.000,35.49941831
97,874885,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212,Williamsbridge and Baychester (CD12),Summer 2023,2023-06-01T00:00:00.000,9.254048723
98,874458,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,402,West Queens,Summer 2023,2023-06-01T00:00:00.000,9.23668133
99,874326,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,205,Sunset Park,Summer 2023,2023-06-01T00:00:00.000,9.149134113
100,878202,386,Ozone (O3),Mean,ppb,UHF34,104,Pelham - Throgs Neck,Summer 2023,2023-06-01T00:00:00.000,34.91689947
101,878152,386,Ozone (O3),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2023,2023-06-01T00:00:00.000,32.06602493
102,874443,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407,Southwest Queens,Summer 2023,2023-06-01T00:00:00.000,8.613922725
103,878229,386,Ozone (O3),Mean,ppb,UHF42,301,Washington Heights,Summer 2023,2023-06-01T00:00:00.000,29.97225632
104,874535,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,105106107,South Bronx,Summer 2023,2023-06-01T00:00:00.000,9.409821191
105,876852,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,3,Manhattan,Summer 2023,2023-06-01T00:00:00.000,16.74988488
106,874368,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,3,Manhattan,Summer 2023,2023-06-01T00:00:00.000,9.34171697
107,877155,375,Nitrogen dioxide (NO2),Mean,ppb,CD,210,Throgs Neck and Co-op City (CD10),Summer 2023,2023-06-01T00:00:00.000,11.2618141
108,877110,375,Nitrogen dioxide (NO2),Mean,ppb,CD,107,Upper West Side (CD7),Summer 2023,2023-06-01T00:00:00.000,15.71228819
109,877035,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01T00:00:00.000,13.24164375
110,878148,386,Ozone (O3),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Summer 2023,2023-06-01T00:00:00.000,34.34050068
111,874870,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503,Tottenville and Great Kills (CD3),Summer 2023,2023-06-01T00:00:00.000,8.212676617
112,874377,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211,Williamsburg - Bushwick,Summer 2023,2023-06-01T00:00:00.000,9.266873894
113,876948,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402,West Queens,Summer 2023,2023-06-01T00:00:00.000,15.07775098
114,874422,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,504,South Beach - Tottenville,Summer 2023,2023-06-01T00:00:00.000,8.221625406
115,874401,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2023,2023-06-01T00:00:00.000,8.865704873
116,874843,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,408,Hillcrest and Fresh Meadows (CD8),Summer 2023,2023-06-01T00:00:00.000,8.651387801
117,878243,386,Ozone (O3),Mean,ppb,UHF42,105,Crotona -Tremont,Summer 2023,2023-06-01T00:00:00.000,32.15024536
118,877230,375,Nitrogen dioxide (NO2),Mean,ppb,CD,405,Ridgewood and Maspeth (CD5),Summer 2023,2023-06-01T00:00:00.000,13.39077372
119,877107,375,Nitrogen dioxide (NO2),Mean,ppb,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2023,2023-06-01T00:00:00.000,18.70500762
120,874547,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,309310,Union Square-Lower Manhattan,Summer 2023,2023-06-01T00:00:00.000,9.223447992
121,874834,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,405,Ridgewood and Maspeth (CD5),Summer 2023,2023-06-01T00:00:00.000,9.103134891
122,878206,386,Ozone (O3),Mean,ppb,UHF42,504,South Beach - Tottenville,Summer 2023,2023-06-01T00:00:00.000,36.4865784
123,874562,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,408,Jamaica,Summer 2023,2023-06-01T00:00:00.000,8.721684896
124,876846,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,1,Bronx,Summer 2023,2023-06-01T00:00:00.000,12.81913123
125,878213,386,Ozone (O3),Mean,ppb,UHF42,407,Southwest Queens,Summer 2023,2023-06-01T00:00:00.000,37.44705249
126,877050,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,403,Flushing - Clearview,Summer 2023,2023-06-01T00:00:00.000,11.19843013
127,878137,386,Ozone (O3),Mean,ppb,CD,407,Flushing and Whitestone (CD7),Summer 2023,2023-06-01T00:00:00.000,36.58470878
128,877053,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,405,Ridgewood - Forest Hills,Summer 2023,2023-06-01T00:00:00.000,12.71702853
129,878126,386,Ozone (O3),Mean,ppb,CD,314,Flatbush and Midwood (CD14),Summer 2023,2023-06-01T00:00:00.000,37.31493103
130,874392,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,206,Borough Park,Summer 2023,2023-06-01T00:00:00.000,8.616311108
131,878242,386,Ozone (O3),Mean,ppb,UHF42,106,High Bridge - Morrisania,Summer 2023,2023-06-01T00:00:00.000,32.13694571
132,878186,386,Ozone (O3),Mean,ppb,UHF34,401,Long Island City - Astoria,Summer 2023,2023-06-01T00:00:00.000,33.216065
133,874586,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01T00:00:00.000,9.20653142
134,877254,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Summer 2023,2023-06-01T00:00:00.000,10.44014289
135,874816,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,317,East Flatbush (CD17),Summer 2023,2023-06-01T00:00:00.000,8.687833391
136,878228,386,Ozone (O3),Mean,ppb,UHF42,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01T00:00:00.000,31.47180591
137,874550,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,306308,Chelsea-Village,Summer 2023,2023-06-01T00:00:00.000,9.667046114
138,878251,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2023,2023-06-01T00:00:00.000,36.81153782
139,878184,386,Ozone (O3),Mean,ppb,UHF34,403,Flushing - Clearview,Summer 2023,2023-06-01T00:00:00.000,36.69427293
140,874440,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408,Jamaica,Summer 2023,2023-06-01T00:00:00.000,8.721661525
141,877059,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,Jamaica,Summer 2023,2023-06-01T00:00:00.000,11.25760293
142,874602,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,205,Fordham and University Heights (CD5),Summer 2023,2023-06-01T00:00:00.000,9.294695775
143,874308,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2023,2023-06-01T00:00:00.000,9.266873894
144,878180,386,Ozone (O3),Mean,ppb,UHF34,409,Southeast Queens,Summer 2023,2023-06-01T00:00:00.000,38.18155438
145,874810,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,315,Sheepshead Bay (CD15),Summer 2023,2023-06-01T00:00:00.000,8.330674356
146,874852,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,411,Bayside and Little Neck (CD11),Summer 2023,2023-06-01T00:00:00.000,8.718392544
147,876909,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,Coney Island - Sheepshead Bay,Summer 2023,2023-06-01T00:00:00.000,9.941814031
148,877062,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Summer 2023,2023-06-01T00:00:00.000,10.27141027
149,876993,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,103,Fordham - Bronx Pk,Summer 2023,2023-06-01T00:00:00.000,12.47245283
150,878225,386,Ozone (O3),Mean,ppb,UHF42,305,Upper East Side,Summer 2023,2023-06-01T00:00:00.000,31.2445346
151,877023,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Summer 2023,2023-06-01T00:00:00.000,12.10054339
152,877260,375,Nitrogen dioxide (NO2),Mean,ppb,CD,501,St. George and Stapleton (CD1),Summer 2023,2023-06-01T00:00:00.000,12.81269171
153,878155,386,Ozone (O3),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Summer 2023,2023-06-01T00:00:00.000,31.89345109
154,877221,375,Nitrogen dioxide (NO2),Mean,ppb,CD,402,Woodside and Sunnyside (CD2),Summer 2023,2023-06-01T00:00:00.000,16.03132644
155,877143,375,Nitrogen dioxide (NO2),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Summer 2023,2023-06-01T00:00:00.000,13.48533038
156,874488,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,302,Central Harlem - Morningside Heights,Summer 2023,2023-06-01T00:00:00.000,9.206518962
157,878177,386,Ozone (O3),Mean,ppb,UHF34,306308,Chelsea-Village,Summer 2023,2023-06-01T00:00:00.000,28.5882459
158,877095,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2023,2023-06-01T00:00:00.000,20.14470643
159,878161,386,Ozone (O3),Mean,ppb,CD,110,Central Harlem (CD10),Summer 2023,2023-06-01T00:00:00.000,31.79455487
160,876921,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,303,East Harlem,Summer 2023,2023-06-01T00:00:00.000,13.82754858
161,878254,386,Ozone (O3),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),Summer 2023,2023-06-01T00:00:00.000,36.45438978
162,877182,375,Nitrogen dioxide (NO2),Mean,ppb,CD,307,Sunset Park (CD7),Summer 2023,2023-06-01T00:00:00.000,14.41101052
163,874837,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,406,Rego Park and Forest Hills (CD6),Summer 2023,2023-06-01T00:00:00.000,8.719093414
164,877134,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203,Morrisania and Crotona (CD3),Summer 2023,2023-06-01T00:00:00.000,13.76011232
165,877233,375,Nitrogen dioxide (NO2),Mean,ppb,CD,406,Rego Park and Forest Hills (CD6),Summer 2023,2023-06-01T00:00:00.000,12.58622382
166,874350,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Summer 2023,2023-06-01T00:00:00.000,9.229392964
167,877218,375,Nitrogen dioxide (NO2),Mean,ppb,CD,401,Long Island City and Astoria (CD1),Summer 2023,2023-06-01T00:00:00.000,14.86324093
168,876894,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,205,Sunset Park,Summer 2023,2023-06-01T00:00:00.000,14.78195865
169,876897,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Summer 2023,2023-06-01T00:00:00.000,11.74380759
170,874813,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,316,Brownsville (CD16),Summer 2023,2023-06-01T00:00:00.000,8.830231955
171,874520,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,104,Clinton and Chelsea (CD4),Summer 2023,2023-06-01T00:00:00.000,9.655789883
172,874467,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Summer 2023,2023-06-01T00:00:00.000,9.24061011
173,877248,375,Nitrogen dioxide (NO2),Mean,ppb,CD,411,Bayside and Little Neck (CD11),Summer 2023,2023-06-01T00:00:00.000,9.702139848
174,874338,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201,Greenpoint,Summer 2023,2023-06-01T00:00:00.000,9.490783626
175,874605,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,206,Belmont and East Tremont (CD6),Summer 2023,2023-06-01T00:00:00.000,9.337857894
176,878173,386,Ozone (O3),Mean,ppb,UHF34,503504,Southern SI,Summer 2023,2023-06-01T00:00:00.000,35.80713329
177,878247,386,Ozone (O3),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Summer 2023,2023-06-01T00:00:00.000,29.39652856
178,874371,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2,Brooklyn,Summer 2023,2023-06-01T00:00:00.000,8.776138037
179,874846,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2023,2023-06-01T00:00:00.000,8.788488643
180,877152,375,Nitrogen dioxide (NO2),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Summer 2023,2023-06-01T00:00:00.000,13.30209579
181,874365,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,4,Queens,Summer 2023,2023-06-01T00:00:00.000,8.791795544
182,874344,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,106,High Bridge - Morrisania,Summer 2023,2023-06-01T00:00:00.000,9.297253521
183,874395,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Summer 2023,2023-06-01T00:00:00.000,9.14926825
184,878122,386,Ozone (O3),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2023,2023-06-01T00:00:00.000,35.37371742
185,878253,386,Ozone (O3),Mean,ppb,CD,502,South Beach and Willowbrook (CD2),Summer 2023,2023-06-01T00:00:00.000,35.2123549
